category,user_type,yday_customers,yday_ratio,mtd_customers,mtd_ratio,lmtd_customers,lmtd_ratio,lm_customers,lm_ratio
"Beverages ","New Customers",283,0.0%,283,4042.9%,283,4716.7%,283,7075.0%
"Fruits & Vegetables ","New Customers",1480,148000.0%,1480,3794.9%,1480,4352.9%,1480,6434.8%
"Snacks & Branded Foods ","New Customers",2221,222100.0%,2221,4442.0%,2221,5844.7%,2221,6940.6%
"Foodgrains, Oil & Masala ","New Customers",723,0.0%,723,5561.5%,723,9037.5%,723,5561.5%
"Beauty & Hygiene ","New Customers",684,68400.0%,684,4275.0%,684,3600.0%,684,3109.1%
"Cleaning & Household ","New Customers",508,50800.0%,508,4618.2%,508,5080.0%,508,4618.2%
"Bakery, Cakes & Dairy ","New Customers",693,69300.0%,693,3850.0%,693,4950.0%,693,4950.0%
"Gourmet & World Food ","New Customers",246,0.0%,246,3514.3%,246,6150.0%,246,6150.0%
"Fruits & Vegetables ","Repeat Customers",11,0.0%,11,0.0%,11,0.0%,11,1100.0%
"Kitchen, Garden & Pets ","New Customers",10,0.0%,10,0.0%,10,0.0%,10,1000.0%
"Foodgrains, Oil & Masala ","Repeat Customers",4,0.0%,4,0.0%,4,0.0%,4,0.0%
"Snacks & Branded Foods ","Repeat Customers",19,0.0%,19,0.0%,19,0.0%,19,950.0%
"Baby Care ","New Customers",27,0.0%,27,0.0%,27,2700.0%,27,2700.0%
"Bakery, Cakes & Dairy ","Repeat Customers",2,0.0%,2,0.0%,2,0.0%,2,0.0%
"Beauty & Hygiene ","Repeat Customers",3,0.0%,3,0.0%,3,0.0%,3,0.0%
"Beverages ","Repeat Customers",2,0.0%,2,0.0%,2,200.0%,2,200.0%
"Gourmet & World Food ","Repeat Customers",1,0.0%,1,0.0%,1,100.0%,1,0.0%
