month,unique_customers,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18
Apr-2023,146,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-2024,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0
Aug-2023,150,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0
Dec-2023,144,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0
Feb-2023,122,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-2024,134,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0
Jan-2023,143,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-2024,149,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0
Jul-2023,143,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0
Jun-2023,128,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0
Jun-2024,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
Mar-2023,160,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-2024,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0
May-2023,131,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0
May-2024,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0
Nov-2023,143,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0
Oct-2023,151,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0
Sep-2023,138,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0
